School Name,School ID,School Network
Stone Elementary Scholastic Academy,610191,Network 2
Charles G Hammond Elementary School,609966,Network 7
Polaris Charter Academy,400069,Charter
Pathways in Education- Brighton Park,400173,Options
Noble - UIC College Prep,400057,Charter
William H Ryder Math & Science Specialty ES,610153,Network 11
Louis Pasteur Elementary School,610117,ISP
Henry H Nash Elementary School,610092,Network 3
Ludwig Van Beethoven Elementary School,610237,Network 9
Esmond Elementary School,609908,Network 10
William C. Goudy Technology Academy,609945,ISP
Irene C. Hernandez Middle School for the Advancement of Science,610532,Network 8
David G Farragut Career Academy High School,609704,Network 16
John Milton Gregory Elementary School,609954,Network 5
Martha Ruggles Elementary School,610152,Network 12
Helge A Haugan Elementary School,609972,Network 1
Dr. Martin L. King Jr Academy of Social Justice,610299,Network 11
William Howard Taft High School,609734,Network 14
Noble - John and Eunice Johnson College Prep,400106,Charter
William P Nixon Elementary School,610097,Network 4
Enrico Tonti Elementary School,610203,ISP
Luke O'Toole Elementary School,610108,Network 11
CICS - Loomis Primary,400026,Charter
James Madison Elementary School,610047,Network 12
Wilma Rudolph Elementary Learning Center,610308,Network 6
Portage Park Elementary School,610135,Network 1
Richard J Oglesby Elementary School,610102,Network 11
Irvin C Mollison Elementary School,610276,Network 9
Albany Park Multicultural Academy,610212,Network 1
Stephen K Hayt Elementary School,609976,Network 2
Acero Charter Schools - PFC Omar E. Torres,400080,Charter
Johann W von Goethe Elementary School,609942,Network 4
Perspectives - High School of Technology,400062,Charter
Ralph H Metcalfe Elementary Community Academy,609902,Network 13
YCCS-Association House HS,400126,Options
Bronzeville Classical Elementary School,610590,Network 9
Melville W Fuller Elementary School,609928,AUSL
Simpson Academy HS for Young Women,609750,Network 15
Blair Early Childhood Center,610087,Network 10
Lawndale Elementary Community Academy,610034,Network 5
Adlai E Stevenson Elementary School,610185,Network 10
Leslie Lewis Elementary School,610036,AUSL
CICS - Prairie,400028,Charter
Mahalia Jackson Elementary School,610369,Network 11
Fairfield Elementary Academy,610057,Network 10
Acero Charter Schools - Major Hector P. Garcia MD,400085,Charter
Pathways in Education - Humboldt Park HS,610594,Options
Ronald Brown Elementary Community Academy,610091,Network 13
Joseph Brennemann Elementary School,610242,Network 2
Beulah Shoesmith Elementary School,610175,Network 9
Namaste Charter School,400050,Charter
Robert Nathaniel Dett Elementary School,610252,Network 6
Barbara Vick Early Childhood & Family Center,609871,Network 10
Oriole Park Elementary School,610105,Network 1
James Hedges Elementary School,609983,Network 8
Wendell Phillips Academy High School,609727,AUSL
Noble - Baker College Prep,400157,Charter
Dunne Technology Academy,610188,Network 13
Carroll-Rosenwald Specialty Elementary School,609839,Network 10
YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,400131,Options
Myra Bradwell Communications Arts & Sciences ES,609806,AUSL
Paul Laurence Dunbar Career Academy High School,609676,Network 17
James G Blaine Elementary School,609803,Network 4
Acero Charter Schools - Officer Donald J. Marquez,400089,Charter
William J Bogan High School,609698,Network 16
Alessandro Volta Elementary School,610209,Network 1
Providence Englewood Charter School,400071,Charter
CICS - West Belden,400030,Charter
YCCS-Olive Harvey Middle College HS,400136,Options
George W Tilton Elementary School,610202,Network 5
Annie Keller Regional Gifted Center,610084,Network 10
Carl Schurz High School,609729,Network 14
John D Shoop Math-Science Technical Academy ES,610176,Network 13
Joseph Lovett Elementary School,610043,Network 3
Oliver S Westcott Elementary School,610300,Network 11
CICS - Lloyd Bond,400092,Charter
KIPP One Academy,400180,Charter
Noble - The Noble Academy,400170,Charter
University of Chicago - Donoghue,400075,Charter
Noble - Rauner College Prep,400055,Charter
Noble Mansueto High School,400179,Charter
Chicago Collegiate Charter School,400161,Charter
Instituto - Justice Lozano,400164,Options
Stephen Decatur Classical Elementary School,609880,Network 2
John H Hamline Elementary School,609964,Network 8
Evergreen Academy Middle School,610319,Network 8
Arthur Dixon Elementary School,609887,Network 12
YCCS-Latino Youth Alternative HS,400135,Options
Henry O Tanner Elementary School,610279,Network 12
Mary Lyon Elementary School,610046,Network 3
George Washington Carver Military Academy HS,609760,Network 17
Amelia Earhart Options for Knowledge ES,610316,Network 12
George Washington Carver Primary School,609845,Network 13
Art in Motion Charter School,400181,Charter
William H Prescott Elementary School,610136,Network 4
Robert Fulton Elementary School,609929,Network 11
Carrie Jacobs Bond Elementary School,610238,Network 11
Richard Edwards Elementary School,609903,ISP
Theodore Herzl Elementary School,609991,AUSL
Chicago Virtual Charter School,400036,Charter
Bowen High School,610323,Network 17
ASPIRA Charter School - Early College High School,400013,Charter
Roswell B Mason Elementary School,610056,Network 5
Laughlin Falconer Elementary School,609910,Network 3
Hannah G Solomon Elementary School,610182,Network 1
Peter Cooper Elementary Dual Language Academy,609867,Network 7
George M Pullman Elementary School,610139,Network 13
Talman Elementary School,610249,ISP
Disney II Magnet School,610515,Network 14
Edwin G. Foreman College and Career Academy,609708,Network 14
Perspectives - Rodney D. Joslin,400064,Charter
Genevieve Melody Elementary School,610293,Network 5
Hope College Preparatory High School,609768,Network 16
John Whistler Elementary School,610225,Network 13
John Barry Elementary School,609789,ISP
L.E.A.R.N. - Romano Butler Campus,400046,Charter
A.N. Pritzker School,610229,Network 6
Cyrus H McCormick Elementary School,610063,Network 7
Inter-American Elementary Magnet School,610078,Network 4
West Park Elementary Academy,610100,ISP
Jonathan Burr Elementary School,609828,Network 6
Academy for Global Citizenship Charter School,400009,Charter
John B Murphy Elementary School,610089,Network 1
Frank W Gunsaulus Elementary Scholastic Academy,609958,ISP
Emil G Hirsch Metropolitan High School,609712,Network 17
Walter S Christopher Elementary School,609855,Network 8
Catalyst - Maria Charter School,400115,Charter
